人名,x坐标,y坐标,z坐标
司徒雷,-4.93503664684411e-05,0.025007818104899597,-0.018681440282953158
司徒鹤,9.053865165064575e-05,0.02320579423147344,0.008495596507196487
司空玄,-0.03737645517693836,0.004500094412070534,-0.04394703526808596
司马大,-0.07141933190113535,0.021910669013179673,0.010630530949976099
司马林,-0.01553662984208304,-0.012803606862108033,-0.022064965882441816
吊死鬼,-0.029784685200914252,-0.007011202334397687,-0.01866183395177385
国师,0.01711686679909721,0.01006695884152483,-0.002697830194640806
向大年,0.0020116888193738,-0.029953137341219637,0.031020367618291866
向问天,0.01046626173293006,-0.020052335531524714,2.0595629128474043e-05
吕小妹,-0.029035241524149477,-0.016259449795005706,0.028389461504454507
吕文德,8.439176464748103e-05,0.023019659498750168,0.018848510645279034
吕正平,0.02463171556217383,0.036671016271566374,-0.012090742595935441
吕留良,-0.04209157445122422,-0.0003238975851433491,-0.0008983881764414973
吕通,0.04871456131226854,-0.0031405959507212864,0.014245950873231272
吴三桂,-0.04873048210417737,0.0046747416474713826,0.027266665970073954
吴之荣,0.0051144725150158304,0.01791749843367687,0.006496042425261177
吴光胜,-0.00456615872849016,-0.010525921146924353,0.013788601281789159
吴六奇,-0.047098806876090346,0.004051434942360437,0.022580938958832248
吴劲草,-0.019957487826273015,0.006068726102315896,-0.01827202789140631
吴国栋,-0.005788789471729331,0.019925593931824744,0.01881350603886921
吴坎,-0.007358811102810599,0.014913583418563074,0.0012146044710271025
吴大鹏,-0.02595879299631078,0.024687791281309348,-0.023628354127421997
吴天德,-0.01514420547094569,-0.04749004825043823,0.04937145961935884
吴平,-0.039665696090671075,-0.0182353951980868,-0.017354476875506095
吴应熊,-0.015938986801845252,-0.0032853064184696712,-0.019293551400467752
吴立身,0.008700112844295033,-0.025778629674961247,-0.03771691707442075
吴良,-0.04681541454030157,-0.012200569988120311,0.02755596500492639
吴道通,-0.015085234511374019,-0.024983874755465332,-0.014507207800514222
吴长风,-0.04159087503875989,0.036909193868929775,-0.020885751912155765
吴青烈,0.01529630741972579,-0.005901761974063874,-0.01688805253871977
吴领军,-0.03834495192197593,-0.001185260913215631,0.004223006452723363
周云阳,0.017983561270523557,-0.015338260373188327,0.0454849865972295
周仲英,0.02386210549817626,-0.05682953430724711,0.045324233172108555
周伯通,-0.0009310044480755468,0.013121024125139163,-0.008899726553376749
周圻,-0.0011102267853630287,0.024767060212937234,0.02518489540921798
周大奶奶,0.023833646855021914,0.004581571758656519,-0.0042258468924825715
周威信,-0.005860163515138528,0.02062274210719004,0.0639305615383438
周掌门,-0.001734290240321748,-0.04062074656311869,-0.009637558589869977
周牧,0.007993362309876312,0.02145252759245231,0.018691630520213914
周芷若,0.028266105862842728,0.009691409203257992,0.006663845102735438
周英杰,0.021042453904116028,-0.007859588620642828,0.015944219548312415
周阿三,-0.023474081245256476,0.08186163954426166,-0.014882036875947012
周隆,0.04819861942665036,0.024885339075763315,0.03668322502098923
周颠,0.07910315796327734,0.04190091848876803,0.0027017822612230556
呼巴音,-0.002619419940590068,-0.010266876987671345,-0.03595954726725456
呼延万善,0.022089102704217056,-0.016314120003940384,-0.013021518039651863
呼音克,0.05544037781922543,-0.027636967462477895,0.019440193724615685
和尔大,-0.04070999919387594,0.022455825071185324,-0.014240163171095074
哈合台,0.000992711262528869,-0.04623703480220057,0.04258118164669967
哈大霸,-0.020630363432288055,0.005190275458231177,0.008159510430676541
哈总管,0.056417111497292685,-0.0034351028990086394,-0.008329024597730723
哑婆婆,-0.001706672190482284,-0.02888934695736775,-0.0412717706228951
哑巴,0.004804068572366715,0.040126638271955936,0.07567790134073721
哑梢公,-0.027051667546180297,-0.029233136675294556,0.002472954966919931
哲罗星,0.05514103631106023,-0.007904998600835433,-0.04783723704231619
唐光雄,-0.018087045605188045,-0.0154031750978574,0.0035139881592000095
唐六爷,-0.0063442975844062435,-0.03593447303494298,-0.01945952437568637
唐文亮,-0.025333672153397557,7.36685162068726e-05,-0.010802706642194104
唐洋,-0.019025919479966683,0.07318769990931515,0.052835463317171864
商宝震,0.019059890236540505,-0.015405925204918966,-0.024343634687422015
商老太,0.008218011506483996,-0.011782307103497218,0.02888754802634571
喀丝丽,0.01543970232862096,0.0015034051802594079,0.03439677887109459
图尔布青,0.015248057377825778,-0.08167827986705084,-0.03142472548405616
圆业,-0.015712629604238616,0.05443597277871546,0.02350279198123896
圆心,-0.0006315256984639997,0.041927690188352094,-0.02753755516474488
圆音,-0.03556999196710798,-0.01344197925892999,0.05034817799635234
圣因师太,-7.262634265870613e-05,0.00918029961832308,-0.007689251567707705
圣姑,0.041009616134491264,-0.03875768495735816,-0.03937768531997842
夏国相,-0.011931265885047662,0.1014412559688085,-0.036892702596660755
夏胄,-0.010569045509134867,0.04805402350543262,-0.03223617056070135
夏雪宜,-0.04228871227588056,0.01585810609356879,0.040973622465074654
多尔衮,0.00021763515523081563,-0.05459510337229299,-0.05760435977387554
多隆,0.05714657178438838,-0.013809528567468862,-0.04297607945732314
大头鬼,0.005054211110434783,0.03778294508062414,0.0322030492848431
大悲老人,0.024811885590416843,-0.040112826451766365,-0.023463989974060087
大智禅师,-0.026774186808691258,-0.04557488875919866,0.02330905974569887
大痴,0.05906514068909436,0.013995375606856798,0.034801449370141305
大癫,0.058872567713681594,0.06754715310717815,-0.015509999166707969
大苦,-0.07321180182322232,-0.010989848586157914,0.061517572269064735
天乙道人,0.04594734111785157,-0.01033908301266896,-0.022290561975576852
天山童姥,-0.005390573429605659,0.03769179954014173,0.040216565194221884
天松道人,-0.03269206451410719,-0.009903348311463113,-0.03489396032623121
天狼子,-0.026710066599953782,0.02283361136816154,-0.036845980554474925
天竺僧,-0.02674170778284151,-0.016771565184459148,-0.0178758156381418
天竺僧人,0.03026766925578087,-0.008558723514154097,-0.01915682365222178
天虚,-0.0286838615562049,0.005343376637936512,0.010401838971702371
天虹禅师,0.04684005913102835,0.0025652632341411513,-0.049949248679317104
天镜,-0.0012901872937268646,0.030653216829335195,0.020210999921356273
天门道人,0.03214230456614955,-0.0423625235315995,-0.0009168758344271449
太皇太后,-0.03525709326536217,0.017740664879807067,0.04912039511743243
奚长老,-0.03795537405356986,-0.0060271086312569415,0.007077469415575762
妙风使,0.00950484052505185,0.026818252272582273,-0.04288218157318922
姑姑,-0.010946742233009843,0.013712650966240199,0.004718124184373012
姚伯当,0.027122717064761374,0.04909263274734558,0.021664733651412384
姚春,0.0032548686998933435,-0.03381838881571755,0.04517083606516331
姚清泉,-0.00032860618839428634,0.004691038946759425,0.03583649570525893
姜铁山,0.035544453120961744,0.00883172716927985,0.010878723559450965
姥姥,0.04090681836076696,0.034440406885918214,-0.00675652431759606
姬晓峰,0.09548727913497847,-0.09066782940063169,0.03605101480852874
孙三毁,0.026139747519058367,-0.008112766906751638,-0.05290417365886595
孙不二,-0.010946190394296397,-0.02552584496886701,0.043051821032819126
孙仲寿,0.008553611140835143,4.901880399533305e-05,0.06337261956380537
孙伏虎,0.0059027937314279615,-0.016303814139284348,0.0089388517257196
孙克通,-0.06048872209460093,-0.03429897985420997,0.0547920803536262
孙刚峰,-0.0008097077401694723,-0.010932042842488852,0.01478868440455524
孙均,0.002182571140895528,-0.008580899124848338,-0.003885706526021909
孙大善,0.02442311632236265,0.012241989084357193,0.005806075026225403
孙婆婆,0.024353817996051973,-0.02510841266152188,-0.04235535297639703
孙思克,0.01461890992743706,-0.09102780740413109,-0.021617680746086783
孙老三,-0.024148870845115977,-0.002914819677789327,0.017899612141329027
孟伯飞,0.038689354175596914,-0.005300973968167634,0.02702606317625649
孟健雄,0.030501166910551512,-0.0017192541923151971,-0.04752084265839428
孟正鸿,-0.03983359626266599,0.034238519734343234,0.0436985713940894
孟铮,0.005800724429116713,-0.011225104282826305,0.008198704122102586
孟铸,-0.03144767114873565,0.03517354362839551,0.019485792939867543
季长老,-0.016619726543755306,0.025099438517764267,-0.011045527546278773
宁女侠,0.022139159100839027,0.03508762257743284,-0.0061453435016126465
宁完我,-0.01662574598385681,0.009424507155589597,-0.026125080612524273
安健刚,-0.002914431381739651,0.029504572072439762,0.004785854328699358
安剑清,-0.03259987247393721,-0.013895336328329594,0.0700996263309111
安大娘,0.033270596129152945,0.048590468154055814,0.04706902444651343
安奉日,-0.004031239788920049,-0.044004765086027076,0.0019196707039369188
安小慧,-0.0455486805474998,0.005937735207225764,0.016123414873877456
安提督,0.040422390732488094,0.022572424572134753,0.014786050541073915
宋五,-0.034211480974895465,-0.028992896234991107,0.05297266231423939
宋善朋,0.009140209899688301,-0.01166144941142844,-0.037991471673551075
宋大侠,0.026537835206114437,-0.08550023808462691,0.014641423922662326
宋天保,-0.048869316642135015,-0.02093443258842127,-0.010883611818524973
宋德方,-0.007233790356498838,0.010540322994484824,0.0027579494173809544
宋献策,-0.004739708278877615,0.03416217166867435,-0.02778287444950774
宋远桥,-0.007369555107017287,0.007687396104829526,-0.006873519146406316
宋长老,0.0137060830522691,0.04435151826262361,-0.04519302183627102
宋青书,0.013935461400780176,0.023304547437425115,0.05007963387655354
完颜洪烈,-0.03722155739699103,-0.01806377611951519,-0.0251229632209981
完颜洪熙,0.10344936930433758,0.007236161323030359,0.0011728285657051228
完颜萍,-0.0473837683318785,-0.004184458453227212,0.03302943559857598
宗维侠,-0.02045796250436111,0.07546433473628522,-0.030000688305568964
宗赞王子,0.017173058068936327,0.0456803411601561,-0.01736685529330258
宗雄,0.0023201752463344193,0.02230688013047699,0.03581276758711106
宝树,0.0017844949255149685,0.010814684181182256,-0.008800569839375072
宝象,0.012922921559220518,-0.02438004569181484,-0.04213161666364291
室里,-0.009288165770146376,-0.06342595049858141,0.02395398824812408
宫九佳,-0.019695951311540266,-0.006169428054354956,0.04456167213087564
